number,tweet,label
3,@alireza48466967 تیم، #پرسپولیس,sport
4,پرسپولیس را برشانه های خود حمل کنید... 6❤️ #پرسپولیس https://t.co/29xLC6D5OO,sport
10,#پرسپوليس را بر شانه های خود حمل کنید...⁦♥️⁩,sport
30,شما که قبلاً بخاطر غرور ملی و به نفع #پرسپوليس جعل کردید و قانون رو دور زدید و حتی هزینه دادید، چرا حاضر نیستید برای کاهش هزینه تحمیلی به #استقلال #استراماچونی_را_برگردانید ؟ https://t.co/pwPWt2IjzP,sport
44,تو فوتبال ایران رسم داریم که ، هر کی با مدیریت در میفته ، بلافاصله اخبار زیاده خواهیش بیرون میاد ! هم ساکتش میکنن و هم زمینه روانی برای جایگزینی احتمالیش چیده میشه! #یحیی  #پرسپوليس https://t.co/GDL6D6gTBk,sport
50,"احساس میکنم دارم شعبهء توییتر اینستای رضا مالدینی میشم😁 اما حیف بود شما نبینین این استوری رضا شاهرودی رو❤👌  ""یه روزی تاوان بدی کردن به آدمای خوب زندگیمونو پس میدیم !!""  دمت گرم مرررد  #پرسپوليس #طلب_برانکو_را_بدهید",sport
56,@milad_azami فعلا مصلحت وزیر اینه که آدم بی لیاقت بیاد بشه مدیر پرسپولیس به امید روزی که #پرسپوليس #خصوصی بشه و از دست این گونه افراد الدنگ بیرون بیاد,sport
60,پرسپولیس را برشانه های خود حمل کنید... 6❤️ #پرسپولیس https://t.co/WeKq3HILwl,sport
63,@Ghahhar اقا اطلاع رسانی خوبه دمت گرم ولی کاشکی این اطلاع رسانیا بعد بازی جام باشگاها باشه تمرکز تیم به هم نخوره  #پرسپولیسی_باشیم #پرسپوليس  #persepolis,sport
66,شبی که تاريخ فوتبال ايران را ورق زديم . به ميزبانی مردی از دل تاريخ فوتبال  ايران  آقای داريوش مصطفوي .رئيس اسبق فدارسيون فوتبال ايران ، بازيکن و مدير عامل اسبق پرسپوليس تهران ، و علي اصغر عاشوري پلي ميکر تسخير ناپذير تيم  گلگهر سیرجان #لیگ_برتر  #پرسپوليس https://t.co/OwbqwWDPB5,sport
67,استوكس يه مصاحبه كرده و گفته #پرسپوليس سطح فوتبالش از آسيا بالاتره و مثل يوونتوس سالها قهرمان ميشه... كه دمش گرم... اما يه حرفى زده كه نميدونم كجاى دلم بذارم... فرمودند مدال من رو بهم برسونيد تا خاطره خوبى از پرسپوليس در ذهنم بمونه😐🚶🏽‍♂️🚬 https://t.co/s5QEM77504,sport
69,نظر سنجی بهترین بازی گردان ACL #پرسپولیسی های عزیز،لطفاً برید و به #بشار_رسن رای بدید. #پرسپوليس  Who will be a gamechanger in  #ACL2020? https://t.co/Cbw1fJSn6J,sport
70,بر چشم بد لعنت 🧿  #پرسپوليس https://t.co/AxFgrqTE3w,sport
71,"استراماچونی رو ولش کن. اگه واقعا خبرنگار ورزشی هستید از @msoltanifar_ir  سوال کنید 2 و نیم میلیون دلار #پرسپولیس چیشد? کجا خرج شد? چرا با اون پول طلب برانکو رو پرداخت نکردید? وقتی جرات سوال کردن از #وزیر_ورزش رو ندارید خبرنگار ورزشی نیستید,شما در یک روزنامه ورزشی مشغول به کارید. https://t.co/aOrt7L0Ffm",sport
76,"شما که خودتون رو خبرنگار ورزشی معرفی کردید, چرا از @msoltanifar_ir  سوال نمیکنید 2 و نیم میلیون دلار #پرسپولیس چیشد?کجا خرج شد? چرا از #وزیر_ورزش سوال نمیکنید چرا طلب برانکو رو پرداخت نمیکنید? شما چطور خبرنگار هستید که وقتی مجلس گفت پول پرسپولیس گم شده نرفتید سراغ وزیر ورزش. https://t.co/grUnsMi5cM",sport
77,انتخاب‌هایی که از سوی وزارت ورزش برای مدیریت #پرسپولیس صورت می‌گیرد،شرم‌آور است. اینکه یک دندانپزشک بدون تجربه حضور در ورزش و به خاطر دوستی دیرینه با آقای وزیر، مدیر یکی از پرطرفدارترین باشگاه‌های آسیا شود، در همه نقاط دنیا سوژه‌ای برای #استیضاح و برکناری یک وزیر ورزش خواهد بود.,sport
