number,tweet,label
23843,@elyasnaderan @mah_sadeghi کاش وقتتون رو برای یکی میذاشتین که بیارزه بپرسین چرا افزایش قیمت بنزین که قانون بود در طی این سال‌ها پیگیری نشد تا تخلف رییس جمهوری صورت نمی‌گرفت افزایش پایه پولی کشور چرا اینقدر ول و ولنگاره چرا ارز دو نرخی شد و کسی دم نزد چرا کارت سوخت حذف شد و مجلس ساکت بود؟ مجلس کارش چیه؟,economy
20512,@Yekmehrann اااا به سلامتی من کی گفتم شیراز زندگی میکنیم؟🤔🤔😕,health
23580,🎥نخستین تئاتر آنلاین ایران *نگاهی به نمایش موزیکال افسانه پری دریایی   *افسانه پری دریایی،نخستین تئاتری است که پس ازشیوع ویروس کرونا بصورت آنلاین اجرا می‌شود. *این تئاتر ویژه گروه سنی کودک و نوجوان است که تا ۲۲مرداد در تالارهنر تهران روی صحنه خواهدبود. «گروه چند رسانه‌ای ایران» https://t.co/0222tyok5Q,cultural
45261,جاوا کار های گل یه آموزش خوب برای  Spring بهم معرفی کنید که میخوام وارد بشم 😁🥳😁  @a_goofy_goober,scientific
26545,@Fatima_solymani @sabeti_twt دنبال دهن سوز بودن آش نیستیم  اما  شاید همین یک نفری که میگید در یک رای گیری موثر باشه  نجفی برای دورا ریاست جمهوری اول روحانی با یک رای مخالف نتونست وزیر آموزش پرورش بشه یک نفر مهمه خیلی مهمه  از کجا معلوم بعضی از اشخاص این فهرست مصلحت اندیشی نکنن و  خیانت بکنن ؟,scientific
10634,دارای شفافیت کامل نباشد، یا از بیگانگان کمک دریافت کند. در خصوص ساير تخلفات، دادگاههاي عادي مي‌توانند نسبت به اِعلام جرم علیه افراد متخلف و تعيين مجازات مالي براي حزب و يا تعيين مجازات كيفري براي اعضا بر اساس قانون اقدام کنند. در عین حال، نمي‌توان احزاب را به خاطر اين تخلفات،,politics
19187,@justfazi 😂😂😂😂😂 اره سیاسی بزنی دم درتونم...,politics
39399,@MoharramiZare ۱. البته من هیچوقت نگفتم آلمان در حال حاضر تمیزه انرژیش! خیر، اتفاقا در مسیر هست و هنوز به مقصد نرسیده. نمیشه بین راه نگهش داشت گفت اها ببین بدرد نمیخوری الان، پس بسه. ولی در مسیر صحیحی هست. ۲. یکی اشاره کرد در کامنتها، این نمودار صادرات و واردات رو حساب نکرده و مهمه.,economy
4495,@saint_asad بابا ادم خودش خیس میشه شنا خیسن اذیت میشه عه😑😂,sport
19870,@zedeey مثل معجزست ، قشنگ مرز افسردگی و سلامت روان منو با خرید میشه جابجا کرد! خودمم پول میدم نگران نشه کسی 😅,health
